Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,070022,1910,01,01,,,
IDCJAC0009,070022,1910,01,02,,,
IDCJAC0009,070022,1910,01,03,,,
IDCJAC0009,070022,1910,01,04,,,
IDCJAC0009,070022,1910,01,05,,,
IDCJAC0009,070022,1910,01,06,,,
IDCJAC0009,070022,1910,01,07,,,
IDCJAC0009,070022,1910,01,08,,,
IDCJAC0009,070022,1910,01,09,,,
IDCJAC0009,070022,1910,01,10,,,
IDCJAC0009,070022,1910,01,11,,,
IDCJAC0009,070022,1910,01,12,,,
IDCJAC0009,070022,1910,01,13,,,
IDCJAC0009,070022,1910,01,14,,,
IDCJAC0009,070022,1910,01,15,,,
IDCJAC0009,070022,1910,01,16,,,
IDCJAC0009,070022,1910,01,17,,,
IDCJAC0009,070022,1910,01,18,,,
IDCJAC0009,070022,1910,01,19,,,
IDCJAC0009,070022,1910,01,20,,,
IDCJAC0009,070022,1910,01,21,,,
IDCJAC0009,070022,1910,01,22,,,
IDCJAC0009,070022,1910,01,23,,,
IDCJAC0009,070022,1910,01,24,,,
IDCJAC0009,070022,1910,01,25,,,
IDCJAC0009,070022,1910,01,26,,,
IDCJAC0009,070022,1910,01,27,,,
IDCJAC0009,070022,1910,01,28,,,
IDCJAC0009,070022,1910,01,29,,,
IDCJAC0009,070022,1910,01,30,,,
IDCJAC0009,070022,1910,01,31,,,
IDCJAC0009,070022,1910,02,01,,,
IDCJAC0009,070022,1910,02,02,,,
IDCJAC0009,070022,1910,02,03,,,
IDCJAC0009,070022,1910,02,04,,,
IDCJAC0009,070022,1910,02,05,,,
IDCJAC0009,070022,1910,02,06,,,
IDCJAC0009,070022,1910,02,07,,,
IDCJAC0009,070022,1910,02,08,,,
IDCJAC0009,070022,1910,02,09,,,
IDCJAC0009,070022,1910,02,10,,,
IDCJAC0009,070022,1910,02,11,,,
IDCJAC0009,070022,1910,02,12,,,
IDCJAC0009,070022,1910,02,13,,,
IDCJAC0009,070022,1910,02,14,,,
IDCJAC0009,070022,1910,02,15,,,
IDCJAC0009,070022,1910,02,16,,,
IDCJAC0009,070022,1910,02,17,,,
IDCJAC0009,070022,1910,02,18,,,
IDCJAC0009,070022,1910,02,19,,,
IDCJAC0009,070022,1910,02,20,,,
IDCJAC0009,070022,1910,02,21,,,
IDCJAC0009,070022,1910,02,22,,,
IDCJAC0009,070022,1910,02,23,,,
IDCJAC0009,070022,1910,02,24,,,
IDCJAC0009,070022,1910,02,25,,,
IDCJAC0009,070022,1910,02,26,,,
IDCJAC0009,070022,1910,02,27,,,
IDCJAC0009,070022,1910,02,28,,,
IDCJAC0009,070022,1910,03,01,,,
IDCJAC0009,070022,1910,03,02,,,
IDCJAC0009,070022,1910,03,03,,,
IDCJAC0009,070022,1910,03,04,,,
IDCJAC0009,070022,1910,03,05,,,
IDCJAC0009,070022,1910,03,06,,,
IDCJAC0009,070022,1910,03,07,,,
IDCJAC0009,070022,1910,03,08,,,
IDCJAC0009,070022,1910,03,09,,,
IDCJAC0009,070022,1910,03,10,,,
IDCJAC0009,070022,1910,03,11,,,
IDCJAC0009,070022,1910,03,12,,,
IDCJAC0009,070022,1910,03,13,,,
IDCJAC0009,070022,1910,03,14,,,
IDCJAC0009,070022,1910,03,15,,,
IDCJAC0009,070022,1910,03,16,,,
IDCJAC0009,070022,1910,03,17,,,
IDCJAC0009,070022,1910,03,18,,,
IDCJAC0009,070022,1910,03,19,,,
IDCJAC0009,070022,1910,03,20,,,
IDCJAC0009,070022,1910,03,21,,,
IDCJAC0009,070022,1910,03,22,,,
IDCJAC0009,070022,1910,03,23,,,
IDCJAC0009,070022,1910,03,24,,,
IDCJAC0009,070022,1910,03,25,,,
IDCJAC0009,070022,1910,03,26,,,
IDCJAC0009,070022,1910,03,27,,,
IDCJAC0009,070022,1910,03,28,,,
IDCJAC0009,070022,1910,03,29,,,
IDCJAC0009,070022,1910,03,30,,,
IDCJAC0009,070022,1910,03,31,,,
IDCJAC0009,070022,1910,04,01,,,
IDCJAC0009,070022,1910,04,02,,,
IDCJAC0009,070022,1910,04,03,,,
IDCJAC0009,070022,1910,04,04,,,
IDCJAC0009,070022,1910,04,05,,,
IDCJAC0009,070022,1910,04,06,,,
IDCJAC0009,070022,1910,04,07,,,
IDCJAC0009,070022,1910,04,08,,,
IDCJAC0009,070022,1910,04,09,,,
IDCJAC0009,070022,1910,04,10,,,
IDCJAC0009,070022,1910,04,11,,,
IDCJAC0009,070022,1910,04,12,,,
IDCJAC0009,070022,1910,04,13,,,
IDCJAC0009,070022,1910,04,14,,,
IDCJAC0009,070022,1910,04,15,,,
IDCJAC0009,070022,1910,04,16,,,
IDCJAC0009,070022,1910,04,17,,,
IDCJAC0009,070022,1910,04,18,,,
IDCJAC0009,070022,1910,04,19,,,
IDCJAC0009,070022,1910,04,20,,,
IDCJAC0009,070022,1910,04,21,,,
IDCJAC0009,070022,1910,04,22,,,
IDCJAC0009,070022,1910,04,23,,,
IDCJAC0009,070022,1910,04,24,,,
IDCJAC0009,070022,1910,04,25,,,
IDCJAC0009,070022,1910,04,26,,,
IDCJAC0009,070022,1910,04,27,,,
IDCJAC0009,070022,1910,04,28,,,
IDCJAC0009,070022,1910,04,29,,,
IDCJAC0009,070022,1910,04,30,,,
IDCJAC0009,070022,1910,05,01,,,
IDCJAC0009,070022,1910,05,02,,,
IDCJAC0009,070022,1910,05,03,,,
IDCJAC0009,070022,1910,05,04,,,
IDCJAC0009,070022,1910,05,05,,,
IDCJAC0009,070022,1910,05,06,,,
IDCJAC0009,070022,1910,05,07,,,
IDCJAC0009,070022,1910,05,08,,,
IDCJAC0009,070022,1910,05,09,,,
IDCJAC0009,070022,1910,05,10,,,
IDCJAC0009,070022,1910,05,11,,,
IDCJAC0009,070022,1910,05,12,,,
IDCJAC0009,070022,1910,05,13,,,
IDCJAC0009,070022,1910,05,14,,,
IDCJAC0009,070022,1910,05,15,,,
IDCJAC0009,070022,1910,05,16,,,
IDCJAC0009,070022,1910,05,17,,,
IDCJAC0009,070022,1910,05,18,,,
IDCJAC0009,070022,1910,05,19,,,
IDCJAC0009,070022,1910,05,20,,,
IDCJAC0009,070022,1910,05,21,,,
IDCJAC0009,070022,1910,05,22,,,
IDCJAC0009,070022,1910,05,23,,,
IDCJAC0009,070022,1910,05,24,,,
IDCJAC0009,070022,1910,05,25,,,
IDCJAC0009,070022,1910,05,26,,,
IDCJAC0009,070022,1910,05,27,,,
IDCJAC0009,070022,1910,05,28,,,
IDCJAC0009,070022,1910,05,29,,,
IDCJAC0009,070022,1910,05,30,,,
IDCJAC0009,070022,1910,05,31,,,
IDCJAC0009,070022,1910,06,01,,,
IDCJAC0009,070022,1910,06,02,,,
IDCJAC0009,070022,1910,06,03,,,
IDCJAC0009,070022,1910,06,04,,,
IDCJAC0009,070022,1910,06,05,,,
IDCJAC0009,070022,1910,06,06,,,
IDCJAC0009,070022,1910,06,07,,,
IDCJAC0009,070022,1910,06,08,,,
IDCJAC0009,070022,1910,06,09,,,
IDCJAC0009,070022,1910,06,10,,,
IDCJAC0009,070022,1910,06,11,,,
IDCJAC0009,070022,1910,06,12,,,
IDCJAC0009,070022,1910,06,13,,,
IDCJAC0009,070022,1910,06,14,,,
IDCJAC0009,070022,1910,06,15,,,
IDCJAC0009,070022,1910,06,16,,,
IDCJAC0009,070022,1910,06,17,,,
IDCJAC0009,070022,1910,06,18,,,
IDCJAC0009,070022,1910,06,19,,,
IDCJAC0009,070022,1910,06,20,,,
IDCJAC0009,070022,1910,06,21,,,
IDCJAC0009,070022,1910,06,22,,,
IDCJAC0009,070022,1910,06,23,,,
IDCJAC0009,070022,1910,06,24,,,
IDCJAC0009,070022,1910,06,25,,,
IDCJAC0009,070022,1910,06,26,,,
IDCJAC0009,070022,1910,06,27,,,
IDCJAC0009,070022,1910,06,28,,,
IDCJAC0009,070022,1910,06,29,,,
IDCJAC0009,070022,1910,06,30,,,
IDCJAC0009,070022,1910,07,01,,,
IDCJAC0009,070022,1910,07,02,,,
IDCJAC0009,070022,1910,07,03,,,
IDCJAC0009,070022,1910,07,04,,,
IDCJAC0009,070022,1910,07,05,,,
IDCJAC0009,070022,1910,07,06,,,
IDCJAC0009,070022,1910,07,07,,,
IDCJAC0009,070022,1910,07,08,,,
IDCJAC0009,070022,1910,07,09,,,
IDCJAC0009,070022,1910,07,10,,,
IDCJAC0009,070022,1910,07,11,,,
IDCJAC0009,070022,1910,07,12,,,
IDCJAC0009,070022,1910,07,13,,,
IDCJAC0009,070022,1910,07,14,,,
IDCJAC0009,070022,1910,07,15,,,
IDCJAC0009,070022,1910,07,16,,,
IDCJAC0009,070022,1910,07,17,,,
IDCJAC0009,070022,1910,07,18,,,
IDCJAC0009,070022,1910,07,19,,,
IDCJAC0009,070022,1910,07,20,,,
IDCJAC0009,070022,1910,07,21,,,
IDCJAC0009,070022,1910,07,22,,,
IDCJAC0009,070022,1910,07,23,,,
IDCJAC0009,070022,1910,07,24,,,
IDCJAC0009,070022,1910,07,25,,,
IDCJAC0009,070022,1910,07,26,,,
IDCJAC0009,070022,1910,07,27,,,
IDCJAC0009,070022,1910,07,28,,,
IDCJAC0009,070022,1910,07,29,,,
IDCJAC0009,070022,1910,07,30,,,
IDCJAC0009,070022,1910,07,31,,,
IDCJAC0009,070022,1910,08,01,,,
IDCJAC0009,070022,1910,08,02,,,
IDCJAC0009,070022,1910,08,03,,,
IDCJAC0009,070022,1910,08,04,,,
IDCJAC0009,070022,1910,08,05,,,
IDCJAC0009,070022,1910,08,06,,,
IDCJAC0009,070022,1910,08,07,,,
IDCJAC0009,070022,1910,08,08,,,
IDCJAC0009,070022,1910,08,09,,,
IDCJAC0009,070022,1910,08,10,,,
IDCJAC0009,070022,1910,08,11,,,
IDCJAC0009,070022,1910,08,12,,,
IDCJAC0009,070022,1910,08,13,,,
IDCJAC0009,070022,1910,08,14,,,
IDCJAC0009,070022,1910,08,15,,,
IDCJAC0009,070022,1910,08,16,,,
IDCJAC0009,070022,1910,08,17,,,
IDCJAC0009,070022,1910,08,18,,,
IDCJAC0009,070022,1910,08,19,,,
IDCJAC0009,070022,1910,08,20,,,
IDCJAC0009,070022,1910,08,21,,,
IDCJAC0009,070022,1910,08,22,,,
IDCJAC0009,070022,1910,08,23,,,
IDCJAC0009,070022,1910,08,24,,,
IDCJAC0009,070022,1910,08,25,,,
