Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,070222,1919,01,01,,,
IDCJAC0009,070222,1919,01,02,,,
IDCJAC0009,070222,1919,01,03,,,
IDCJAC0009,070222,1919,01,04,,,
IDCJAC0009,070222,1919,01,05,,,
IDCJAC0009,070222,1919,01,06,,,
IDCJAC0009,070222,1919,01,07,,,
IDCJAC0009,070222,1919,01,08,,,
IDCJAC0009,070222,1919,01,09,,,
IDCJAC0009,070222,1919,01,10,,,
IDCJAC0009,070222,1919,01,11,,,
IDCJAC0009,070222,1919,01,12,,,
IDCJAC0009,070222,1919,01,13,,,
IDCJAC0009,070222,1919,01,14,,,
IDCJAC0009,070222,1919,01,15,,,
IDCJAC0009,070222,1919,01,16,,,
IDCJAC0009,070222,1919,01,17,,,
IDCJAC0009,070222,1919,01,18,,,
IDCJAC0009,070222,1919,01,19,,,
IDCJAC0009,070222,1919,01,20,,,
IDCJAC0009,070222,1919,01,21,,,
IDCJAC0009,070222,1919,01,22,,,
IDCJAC0009,070222,1919,01,23,,,
IDCJAC0009,070222,1919,01,24,,,
IDCJAC0009,070222,1919,01,25,,,
IDCJAC0009,070222,1919,01,26,,,
IDCJAC0009,070222,1919,01,27,,,
IDCJAC0009,070222,1919,01,28,,,
IDCJAC0009,070222,1919,01,29,,,
IDCJAC0009,070222,1919,01,30,,,
IDCJAC0009,070222,1919,01,31,,,
IDCJAC0009,070222,1919,02,01,,,
IDCJAC0009,070222,1919,02,02,,,
IDCJAC0009,070222,1919,02,03,,,
IDCJAC0009,070222,1919,02,04,,,
IDCJAC0009,070222,1919,02,05,,,
IDCJAC0009,070222,1919,02,06,,,
IDCJAC0009,070222,1919,02,07,,,
IDCJAC0009,070222,1919,02,08,,,
IDCJAC0009,070222,1919,02,09,,,
IDCJAC0009,070222,1919,02,10,,,
IDCJAC0009,070222,1919,02,11,,,
IDCJAC0009,070222,1919,02,12,,,
IDCJAC0009,070222,1919,02,13,,,
IDCJAC0009,070222,1919,02,14,,,
IDCJAC0009,070222,1919,02,15,,,
IDCJAC0009,070222,1919,02,16,,,
IDCJAC0009,070222,1919,02,17,,,
IDCJAC0009,070222,1919,02,18,,,
IDCJAC0009,070222,1919,02,19,,,
IDCJAC0009,070222,1919,02,20,,,
IDCJAC0009,070222,1919,02,21,,,
IDCJAC0009,070222,1919,02,22,,,
IDCJAC0009,070222,1919,02,23,,,
IDCJAC0009,070222,1919,02,24,,,
IDCJAC0009,070222,1919,02,25,,,
IDCJAC0009,070222,1919,02,26,,,
IDCJAC0009,070222,1919,02,27,,,
IDCJAC0009,070222,1919,02,28,,,
IDCJAC0009,070222,1919,03,01,,,
IDCJAC0009,070222,1919,03,02,,,
IDCJAC0009,070222,1919,03,03,,,
IDCJAC0009,070222,1919,03,04,,,
IDCJAC0009,070222,1919,03,05,,,
IDCJAC0009,070222,1919,03,06,,,
IDCJAC0009,070222,1919,03,07,,,
IDCJAC0009,070222,1919,03,08,,,
IDCJAC0009,070222,1919,03,09,,,
IDCJAC0009,070222,1919,03,10,,,
IDCJAC0009,070222,1919,03,11,,,
IDCJAC0009,070222,1919,03,12,,,
IDCJAC0009,070222,1919,03,13,,,
IDCJAC0009,070222,1919,03,14,,,
IDCJAC0009,070222,1919,03,15,,,
IDCJAC0009,070222,1919,03,16,,,
IDCJAC0009,070222,1919,03,17,,,
IDCJAC0009,070222,1919,03,18,,,
IDCJAC0009,070222,1919,03,19,,,
IDCJAC0009,070222,1919,03,20,,,
IDCJAC0009,070222,1919,03,21,,,
IDCJAC0009,070222,1919,03,22,,,
IDCJAC0009,070222,1919,03,23,,,
IDCJAC0009,070222,1919,03,24,,,
IDCJAC0009,070222,1919,03,25,,,
IDCJAC0009,070222,1919,03,26,,,
IDCJAC0009,070222,1919,03,27,,,
IDCJAC0009,070222,1919,03,28,,,
IDCJAC0009,070222,1919,03,29,,,
IDCJAC0009,070222,1919,03,30,,,
IDCJAC0009,070222,1919,03,31,,,
IDCJAC0009,070222,1919,04,01,,,
IDCJAC0009,070222,1919,04,02,,,
IDCJAC0009,070222,1919,04,03,,,
IDCJAC0009,070222,1919,04,04,,,
IDCJAC0009,070222,1919,04,05,,,
IDCJAC0009,070222,1919,04,06,,,
IDCJAC0009,070222,1919,04,07,,,
IDCJAC0009,070222,1919,04,08,,,
IDCJAC0009,070222,1919,04,09,,,
IDCJAC0009,070222,1919,04,10,,,
IDCJAC0009,070222,1919,04,11,,,
IDCJAC0009,070222,1919,04,12,,,
IDCJAC0009,070222,1919,04,13,,,
IDCJAC0009,070222,1919,04,14,,,
IDCJAC0009,070222,1919,04,15,,,
IDCJAC0009,070222,1919,04,16,,,
IDCJAC0009,070222,1919,04,17,,,
IDCJAC0009,070222,1919,04,18,,,
IDCJAC0009,070222,1919,04,19,,,
IDCJAC0009,070222,1919,04,20,,,
IDCJAC0009,070222,1919,04,21,,,
IDCJAC0009,070222,1919,04,22,,,
IDCJAC0009,070222,1919,04,23,,,
IDCJAC0009,070222,1919,04,24,,,
IDCJAC0009,070222,1919,04,25,,,
IDCJAC0009,070222,1919,04,26,,,
IDCJAC0009,070222,1919,04,27,,,
IDCJAC0009,070222,1919,04,28,,,
IDCJAC0009,070222,1919,04,29,,,
IDCJAC0009,070222,1919,04,30,,,
IDCJAC0009,070222,1919,05,01,,,
IDCJAC0009,070222,1919,05,02,,,
IDCJAC0009,070222,1919,05,03,,,
IDCJAC0009,070222,1919,05,04,,,
IDCJAC0009,070222,1919,05,05,,,
IDCJAC0009,070222,1919,05,06,,,
IDCJAC0009,070222,1919,05,07,,,
IDCJAC0009,070222,1919,05,08,,,
IDCJAC0009,070222,1919,05,09,,,
IDCJAC0009,070222,1919,05,10,,,
IDCJAC0009,070222,1919,05,11,,,
IDCJAC0009,070222,1919,05,12,,,
IDCJAC0009,070222,1919,05,13,,,
IDCJAC0009,070222,1919,05,14,,,
IDCJAC0009,070222,1919,05,15,,,
IDCJAC0009,070222,1919,05,16,,,
IDCJAC0009,070222,1919,05,17,,,
IDCJAC0009,070222,1919,05,18,,,
IDCJAC0009,070222,1919,05,19,,,
IDCJAC0009,070222,1919,05,20,,,
IDCJAC0009,070222,1919,05,21,,,
IDCJAC0009,070222,1919,05,22,,,
IDCJAC0009,070222,1919,05,23,,,
IDCJAC0009,070222,1919,05,24,,,
IDCJAC0009,070222,1919,05,25,,,
IDCJAC0009,070222,1919,05,26,,,
IDCJAC0009,070222,1919,05,27,,,
IDCJAC0009,070222,1919,05,28,,,
IDCJAC0009,070222,1919,05,29,,,
IDCJAC0009,070222,1919,05,30,,,
IDCJAC0009,070222,1919,05,31,,,
IDCJAC0009,070222,1919,06,01,,,
IDCJAC0009,070222,1919,06,02,,,
IDCJAC0009,070222,1919,06,03,,,
IDCJAC0009,070222,1919,06,04,,,
IDCJAC0009,070222,1919,06,05,,,
IDCJAC0009,070222,1919,06,06,,,
IDCJAC0009,070222,1919,06,07,,,
IDCJAC0009,070222,1919,06,08,,,
IDCJAC0009,070222,1919,06,09,,,
IDCJAC0009,070222,1919,06,10,,,
IDCJAC0009,070222,1919,06,11,,,
IDCJAC0009,070222,1919,06,12,,,
IDCJAC0009,070222,1919,06,13,,,
IDCJAC0009,070222,1919,06,14,,,
IDCJAC0009,070222,1919,06,15,,,
IDCJAC0009,070222,1919,06,16,,,
IDCJAC0009,070222,1919,06,17,,,
IDCJAC0009,070222,1919,06,18,,,
IDCJAC0009,070222,1919,06,19,,,
IDCJAC0009,070222,1919,06,20,,,
IDCJAC0009,070222,1919,06,21,,,
IDCJAC0009,070222,1919,06,22,,,
IDCJAC0009,070222,1919,06,23,,,
IDCJAC0009,070222,1919,06,24,,,
IDCJAC0009,070222,1919,06,25,,,
IDCJAC0009,070222,1919,06,26,,,
IDCJAC0009,070222,1919,06,27,,,
IDCJAC0009,070222,1919,06,28,,,
IDCJAC0009,070222,1919,06,29,,,
IDCJAC0009,070222,1919,06,30,,,
IDCJAC0009,070222,1919,07,01,,,
IDCJAC0009,070222,1919,07,02,,,
IDCJAC0009,070222,1919,07,03,,,
IDCJAC0009,070222,1919,07,04,,,
IDCJAC0009,070222,1919,07,05,,,
IDCJAC0009,070222,1919,07,06,,,
IDCJAC0009,070222,1919,07,07,,,
IDCJAC0009,070222,1919,07,08,,,
IDCJAC0009,070222,1919,07,09,,,
IDCJAC0009,070222,1919,07,10,,,
IDCJAC0009,070222,1919,07,11,,,
IDCJAC0009,070222,1919,07,12,,,
IDCJAC0009,070222,1919,07,13,,,
IDCJAC0009,070222,1919,07,14,,,
IDCJAC0009,070222,1919,07,15,,,
IDCJAC0009,070222,1919,07,16,,,
IDCJAC0009,070222,1919,07,17,,,
IDCJAC0009,070222,1919,07,18,,,
IDCJAC0009,070222,1919,07,19,,,
IDCJAC0009,070222,1919,07,20,,,
IDCJAC0009,070222,1919,07,21,,,
IDCJAC0009,070222,1919,07,22,,,
IDCJAC0009,070222,1919,07,23,,,
IDCJAC0009,070222,1919,07,24,,,
IDCJAC0009,070222,1919,07,25,,,
IDCJAC0009,070222,1919,07,26,,,
IDCJAC0009,070222,1919,07,27,,,
IDCJAC0009,070222,1919,07,28,,,
IDCJAC0009,070222,1919,07,29,,,
IDCJAC0009,070222,1919,07,30,,,
IDCJAC0009,070222,1919,07,31,,,
IDCJAC0009,070222,1919,08,01,,,
IDCJAC0009,070222,1919,08,02,,,
IDCJAC0009,070222,1919,08,03,,,
IDCJAC0009,070222,1919,08,04,,,
IDCJAC0009,070222,1919,08,05,,,
IDCJAC0009,070222,1919,08,06,,,
IDCJAC0009,070222,1919,08,07,,,
IDCJAC0009,070222,1919,08,08,,,
IDCJAC0009,070222,1919,08,09,,,
IDCJAC0009,070222,1919,08,10,,,
IDCJAC0009,070222,1919,08,11,,,
IDCJAC0009,070222,1919,08,12,,,
IDCJAC0009,070222,1919,08,13,,,
IDCJAC0009,070222,1919,08,14,,,
IDCJAC0009,070222,1919,08,15,,,
IDCJAC0009,070222,1919,08,16,,,
IDCJAC0009,070222,1919,08,17,,,
IDCJAC0009,070222,1919,08,18,,,
IDCJAC0009,070222,1919,08,19,,,
IDCJAC0009,070222,1919,08,20,,,
IDCJAC0009,070222,1919,08,21,,,
IDCJAC0009,070222,1919,08,22,,,
IDCJAC0009,070222,1919,08,23,,,
IDCJAC0009,070222,1919,08,24,,,
IDCJAC0009,070222,1919,08,25,,,
IDCJAC0009,070222,1919,08,26,,,
IDCJAC0009,070222,1919,08,27,,,
IDCJAC0009,070222,1919,08,28,,,
IDCJAC0009,070222,1919,08,29,,,
IDCJAC0009,070222,1919,08,30,,,
IDCJAC0009,070222,1919,08,31,,,
IDCJAC0009,070222,1919,09,01,,,
IDCJAC0009,070222,1919,09,02,,,
IDCJAC0009,070222,1919,09,03,,,
IDCJAC0009,070222,1919,09,04,,,
IDCJAC0009,070222,1919,09,05,,,
IDCJAC0009,070222,1919,09,06,,,
IDCJAC0009,070222,1919,09,07,,,
IDCJAC0009,070222,1919,09,08,,,
IDCJAC0009,070222,1919,09,09,,,
IDCJAC0009,070222,1919,09,10,,,
IDCJAC0009,070222,1919,09,11,,,
IDCJAC0009,070222,1919,09,12,,,
IDCJAC0009,070222,1919,09,13,,,
IDCJAC0009,070222,1919,09,14,,,
IDCJAC0009,070222,1919,09,15,,,
IDCJAC0009,070222,1919,09,16,,,
IDCJAC0009,070222,1919,09,17,,,
IDCJAC0009,070222,1919,09,18,,,
IDCJAC0009,070222,1919,09,19,,,
IDCJAC0009,070222,1919,09,20,,,
IDCJAC0009,070222,1919,09,21,,,
IDCJAC0009,070222,1919,09,22,,,
IDCJAC0009,070222,1919,09,23,,,
IDCJAC0009,070222,1919,09,24,,,
IDCJAC0009,070222,1919,09,25,,,
IDCJAC0009,070222,1919,09,26,,,
IDCJAC0009,070222,1919,09,27,,,
IDCJAC0009,070222,1919,09,28,,,
IDCJAC0009,070222,1919,09,29,,,
IDCJAC0009,070222,1919,09,30,,,
IDCJAC0009,070222,1919,10,01,,,
IDCJAC0009,070222,1919,10,02,,,
IDCJAC0009,070222,1919,10,03,,,
IDCJAC0009,070222,1919,10,04,,,
IDCJAC0009,070222,1919,10,05,,,
IDCJAC0009,070222,1919,10,06,,,
IDCJAC0009,070222,1919,10,07,,,
IDCJAC0009,070222,1919,10,08,,,
IDCJAC0009,070222,1919,10,09,,,
IDCJAC0009,070222,1919,10,10,,,
IDCJAC0009,070222,1919,10,11,,,
IDCJAC0009,070222,1919,10,12,,,
IDCJAC0009,070222,1919,10,13,,,
IDCJAC0009,070222,1919,10,14,,,
IDCJAC0009,070222,1919,10,15,,,
IDCJAC0009,070222,1919,10,16,,,
IDCJAC0009,070222,1919,10,17,,,
IDCJAC0009,070222,1919,10,18,,,
IDCJAC0009,070222,1919,10,19,,,
IDCJAC0009,070222,1919,10,20,,,
IDCJAC0009,070222,1919,10,21,,,
IDCJAC0009,070222,1919,10,22,,,
IDCJAC0009,070222,1919,10,23,,,
IDCJAC0009,070222,1919,10,24,,,
IDCJAC0009,070222,1919,10,25,,,
IDCJAC0009,070222,1919,10,26,,,
IDCJAC0009,070222,1919,10,27,,,
IDCJAC0009,070222,1919,10,28,,,
IDCJAC0009,070222,1919,10,29,,,
IDCJAC0009,070222,1919,10,30,,,
IDCJAC0009,070222,1919,10,31,,,
IDCJAC0009,070222,1919,11,01,0.0,,Y
IDCJAC0009,070222,1919,11,02,0.0,,Y
IDCJAC0009,070222,1919,11,03,0.0,,Y
IDCJAC0009,070222,1919,11,04,0.0,,Y
IDCJAC0009,070222,1919,11,05,0.0,,Y
IDCJAC0009,070222,1919,11,06,0.0,,Y
IDCJAC0009,070222,1919,11,07,0.0,,Y
IDCJAC0009,070222,1919,11,08,0.0,,Y
IDCJAC0009,070222,1919,11,09,0.0,,Y
IDCJAC0009,070222,1919,11,10,0.0,,Y
IDCJAC0009,070222,1919,11,11,1.5,1,Y
IDCJAC0009,070222,1919,11,12,8.9,1,Y
IDCJAC0009,070222,1919,11,13,0.0,,Y
IDCJAC0009,070222,1919,11,14,5.3,1,Y
IDCJAC0009,070222,1919,11,15,0.0,,Y
IDCJAC0009,070222,1919,11,16,0.0,,Y
IDCJAC0009,070222,1919,11,17,0.0,,Y
IDCJAC0009,070222,1919,11,18,0.0,,Y
IDCJAC0009,070222,1919,11,19,0.0,,Y
IDCJAC0009,070222,1919,11,20,22.9,1,Y
IDCJAC0009,070222,1919,11,21,0.0,,Y
IDCJAC0009,070222,1919,11,22,0.0,,Y
IDCJAC0009,070222,1919,11,23,0.0,,Y
IDCJAC0009,070222,1919,11,24,0.0,,Y
IDCJAC0009,070222,1919,11,25,0.0,,Y
IDCJAC0009,070222,1919,11,26,0.0,,Y
IDCJAC0009,070222,1919,11,27,0.0,,Y
IDCJAC0009,070222,1919,11,28,2.8,1,Y
IDCJAC0009,070222,1919,11,29,5.3,1,Y
IDCJAC0009,070222,1919,11,30,5.3,1,Y
IDCJAC0009,070222,1919,12,01,0.0,,Y
IDCJAC0009,070222,1919,12,02,0.0,,Y
IDCJAC0009,070222,1919,12,03,6.1,1,Y
IDCJAC0009,070222,1919,12,04,3.6,1,Y
IDCJAC0009,070222,1919,12,05,2.5,1,Y
IDCJAC0009,070222,1919,12,06,13.2,1,Y
IDCJAC0009,070222,1919,12,07,0.0,,Y
IDCJAC0009,070222,1919,12,08,0.0,,Y
IDCJAC0009,070222,1919,12,09,0.0,,Y
IDCJAC0009,070222,1919,12,10,0.0,,Y
IDCJAC0009,070222,1919,12,11,0.0,,Y
IDCJAC0009,070222,1919,12,12,0.0,,Y
IDCJAC0009,070222,1919,12,13,0.0,,Y
IDCJAC0009,070222,1919,12,14,0.0,,Y
IDCJAC0009,070222,1919,12,15,0.0,,Y
IDCJAC0009,070222,1919,12,16,0.0,,Y
IDCJAC0009,070222,1919,12,17,0.0,,Y
IDCJAC0009,070222,1919,12,18,0.0,,Y
IDCJAC0009,070222,1919,12,19,0.0,,Y
IDCJAC0009,070222,1919,12,20,0.0,,Y
IDCJAC0009,070222,1919,12,21,0.0,,Y
IDCJAC0009,070222,1919,12,22,0.0,,Y
IDCJAC0009,070222,1919,12,23,0.0,,Y
IDCJAC0009,070222,1919,12,24,0.0,,Y
IDCJAC0009,070222,1919,12,25,0.0,,Y
IDCJAC0009,070222,1919,12,26,0.0,,Y
IDCJAC0009,070222,1919,12,27,0.0,,Y
IDCJAC0009,070222,1919,12,28,35.6,1,Y
IDCJAC0009,070222,1919,12,29,23.6,1,Y
IDCJAC0009,070222,1919,12,30,8.1,1,Y
IDCJAC0009,070222,1919,12,31,2.5,1,Y
IDCJAC0009,070222,1920,01,01,3.3,1,Y
IDCJAC0009,070222,1920,01,02,2.8,1,Y
IDCJAC0009,070222,1920,01,03,7.1,1,Y
IDCJAC0009,070222,1920,01,04,2.5,1,Y
IDCJAC0009,070222,1920,01,05,0.0,,Y
IDCJAC0009,070222,1920,01,06,0.0,,Y
IDCJAC0009,070222,1920,01,07,0.0,,Y
IDCJAC0009,070222,1920,01,08,0.0,,Y
IDCJAC0009,070222,1920,01,09,9.1,1,Y
IDCJAC0009,070222,1920,01,10,0.0,,Y
IDCJAC0009,070222,1920,01,11,0.0,,Y
IDCJAC0009,070222,1920,01,12,0.0,,Y
IDCJAC0009,070222,1920,01,13,0.0,,Y
IDCJAC0009,070222,1920,01,14,0.0,,Y
IDCJAC0009,070222,1920,01,15,0.0,,Y
IDCJAC0009,070222,1920,01,16,0.0,,Y
