Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,070095,1886,01,01,,,
IDCJAC0009,070095,1886,01,02,,,
IDCJAC0009,070095,1886,01,03,,,
IDCJAC0009,070095,1886,01,04,,,
IDCJAC0009,070095,1886,01,05,,,
IDCJAC0009,070095,1886,01,06,,,
IDCJAC0009,070095,1886,01,07,,,
IDCJAC0009,070095,1886,01,08,,,
IDCJAC0009,070095,1886,01,09,,,
IDCJAC0009,070095,1886,01,10,,,
IDCJAC0009,070095,1886,01,11,,,
IDCJAC0009,070095,1886,01,12,,,
IDCJAC0009,070095,1886,01,13,,,
IDCJAC0009,070095,1886,01,14,,,
IDCJAC0009,070095,1886,01,15,,,
IDCJAC0009,070095,1886,01,16,,,
IDCJAC0009,070095,1886,01,17,,,
IDCJAC0009,070095,1886,01,18,,,
IDCJAC0009,070095,1886,01,19,,,
IDCJAC0009,070095,1886,01,20,,,
IDCJAC0009,070095,1886,01,21,,,
IDCJAC0009,070095,1886,01,22,,,
IDCJAC0009,070095,1886,01,23,,,
IDCJAC0009,070095,1886,01,24,,,
IDCJAC0009,070095,1886,01,25,,,
IDCJAC0009,070095,1886,01,26,,,
IDCJAC0009,070095,1886,01,27,,,
IDCJAC0009,070095,1886,01,28,,,
IDCJAC0009,070095,1886,01,29,,,
IDCJAC0009,070095,1886,01,30,,,
IDCJAC0009,070095,1886,01,31,,,
IDCJAC0009,070095,1886,02,01,,,
IDCJAC0009,070095,1886,02,02,,,
IDCJAC0009,070095,1886,02,03,,,
IDCJAC0009,070095,1886,02,04,,,
IDCJAC0009,070095,1886,02,05,,,
IDCJAC0009,070095,1886,02,06,,,
IDCJAC0009,070095,1886,02,07,,,
IDCJAC0009,070095,1886,02,08,,,
IDCJAC0009,070095,1886,02,09,,,
IDCJAC0009,070095,1886,02,10,,,
IDCJAC0009,070095,1886,02,11,,,
IDCJAC0009,070095,1886,02,12,,,
IDCJAC0009,070095,1886,02,13,,,
IDCJAC0009,070095,1886,02,14,,,
IDCJAC0009,070095,1886,02,15,,,
IDCJAC0009,070095,1886,02,16,,,
IDCJAC0009,070095,1886,02,17,,,
IDCJAC0009,070095,1886,02,18,,,
IDCJAC0009,070095,1886,02,19,,,
IDCJAC0009,070095,1886,02,20,,,
IDCJAC0009,070095,1886,02,21,,,
IDCJAC0009,070095,1886,02,22,,,
IDCJAC0009,070095,1886,02,23,,,
IDCJAC0009,070095,1886,02,24,,,
IDCJAC0009,070095,1886,02,25,,,
IDCJAC0009,070095,1886,02,26,,,
IDCJAC0009,070095,1886,02,27,,,
IDCJAC0009,070095,1886,02,28,,,
IDCJAC0009,070095,1886,03,01,0.0,,Y
IDCJAC0009,070095,1886,03,02,0.0,,Y
IDCJAC0009,070095,1886,03,03,0.0,,Y
IDCJAC0009,070095,1886,03,04,0.0,,Y
IDCJAC0009,070095,1886,03,05,0.0,,Y
IDCJAC0009,070095,1886,03,06,16.5,1,Y
IDCJAC0009,070095,1886,03,07,0.0,,Y
IDCJAC0009,070095,1886,03,08,0.0,,Y
IDCJAC0009,070095,1886,03,09,0.0,,Y
IDCJAC0009,070095,1886,03,10,0.0,,Y
IDCJAC0009,070095,1886,03,11,0.0,,Y
IDCJAC0009,070095,1886,03,12,10.2,1,Y
IDCJAC0009,070095,1886,03,13,0.0,,Y
IDCJAC0009,070095,1886,03,14,0.0,,Y
IDCJAC0009,070095,1886,03,15,0.0,,Y
IDCJAC0009,070095,1886,03,16,0.0,,Y
IDCJAC0009,070095,1886,03,17,0.0,,Y
IDCJAC0009,070095,1886,03,18,0.0,,Y
