Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,070185,1939,01,01,0.0,,Y
IDCJAC0009,070185,1939,01,02,0.0,,Y
IDCJAC0009,070185,1939,01,03,0.0,,Y
IDCJAC0009,070185,1939,01,04,0.0,,Y
IDCJAC0009,070185,1939,01,05,0.0,,Y
IDCJAC0009,070185,1939,01,06,0.0,,Y
IDCJAC0009,070185,1939,01,07,0.0,,Y
IDCJAC0009,070185,1939,01,08,5.1,1,Y
IDCJAC0009,070185,1939,01,09,0.0,,Y
IDCJAC0009,070185,1939,01,10,0.0,,Y
IDCJAC0009,070185,1939,01,11,0.0,,Y
IDCJAC0009,070185,1939,01,12,0.0,,Y
IDCJAC0009,070185,1939,01,13,0.0,,Y
IDCJAC0009,070185,1939,01,14,0.0,,Y
IDCJAC0009,070185,1939,01,15,0.0,,Y
IDCJAC0009,070185,1939,01,16,0.0,,Y
IDCJAC0009,070185,1939,01,17,9.4,1,Y
IDCJAC0009,070185,1939,01,18,0.0,,Y
IDCJAC0009,070185,1939,01,19,0.0,,Y
IDCJAC0009,070185,1939,01,20,5.6,1,Y
IDCJAC0009,070185,1939,01,21,0.0,,Y
IDCJAC0009,070185,1939,01,22,0.0,,Y
IDCJAC0009,070185,1939,01,23,0.0,,Y
IDCJAC0009,070185,1939,01,24,0.0,,Y
IDCJAC0009,070185,1939,01,25,0.0,,Y
IDCJAC0009,070185,1939,01,26,0.0,,Y
IDCJAC0009,070185,1939,01,27,8.4,1,Y
IDCJAC0009,070185,1939,01,28,0.0,,Y
IDCJAC0009,070185,1939,01,29,0.0,,Y
IDCJAC0009,070185,1939,01,30,0.0,,Y
IDCJAC0009,070185,1939,01,31,0.0,,Y
IDCJAC0009,070185,1939,02,01,0.0,,Y
IDCJAC0009,070185,1939,02,02,0.0,,Y
IDCJAC0009,070185,1939,02,03,0.0,,Y
IDCJAC0009,070185,1939,02,04,0.0,,Y
