Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,070332,1989,01,01,0.0,,Y
IDCJAC0009,070332,1989,01,02,1.2,1,Y
IDCJAC0009,070332,1989,01,03,0.4,1,Y
IDCJAC0009,070332,1989,01,04,0.0,,Y
IDCJAC0009,070332,1989,01,05,0.0,,Y
IDCJAC0009,070332,1989,01,06,0.0,,Y
IDCJAC0009,070332,1989,01,07,0.0,,Y
IDCJAC0009,070332,1989,01,08,0.0,,Y
IDCJAC0009,070332,1989,01,09,0.0,,Y
IDCJAC0009,070332,1989,01,10,1.4,1,Y
IDCJAC0009,070332,1989,01,11,0.0,,Y
IDCJAC0009,070332,1989,01,12,0.0,,Y
IDCJAC0009,070332,1989,01,13,0.0,,Y
IDCJAC0009,070332,1989,01,14,0.0,,Y
IDCJAC0009,070332,1989,01,15,0.0,,Y
IDCJAC0009,070332,1989,01,16,0.0,,Y
IDCJAC0009,070332,1989,01,17,0.0,,Y
IDCJAC0009,070332,1989,01,18,14.2,1,Y
IDCJAC0009,070332,1989,01,19,1.4,1,Y
IDCJAC0009,070332,1989,01,20,0.0,,Y
IDCJAC0009,070332,1989,01,21,0.0,,Y
IDCJAC0009,070332,1989,01,22,0.0,,Y
IDCJAC0009,070332,1989,01,23,1.2,1,Y
IDCJAC0009,070332,1989,01,24,0.0,,Y
IDCJAC0009,070332,1989,01,25,0.0,,Y
IDCJAC0009,070332,1989,01,26,0.0,,Y
IDCJAC0009,070332,1989,01,27,0.0,,Y
IDCJAC0009,070332,1989,01,28,0.0,,Y
IDCJAC0009,070332,1989,01,29,0.0,,Y
IDCJAC0009,070332,1989,01,30,0.0,,Y
IDCJAC0009,070332,1989,01,31,0.0,,Y
IDCJAC0009,070332,1989,02,01,0.4,1,Y
IDCJAC0009,070332,1989,02,02,0.0,,Y
IDCJAC0009,070332,1989,02,03,0.0,,Y
IDCJAC0009,070332,1989,02,04,0.0,,Y
IDCJAC0009,070332,1989,02,05,0.0,,Y
IDCJAC0009,070332,1989,02,06,0.0,,Y
IDCJAC0009,070332,1989,02,07,0.0,,Y
IDCJAC0009,070332,1989,02,08,0.0,,Y
IDCJAC0009,070332,1989,02,09,0.0,,Y
IDCJAC0009,070332,1989,02,10,0.0,,Y
IDCJAC0009,070332,1989,02,11,0.0,,Y
IDCJAC0009,070332,1989,02,12,0.0,,Y
IDCJAC0009,070332,1989,02,13,0.0,,Y
IDCJAC0009,070332,1989,02,14,0.0,,Y
IDCJAC0009,070332,1989,02,15,0.0,,Y
IDCJAC0009,070332,1989,02,16,0.0,,Y
IDCJAC0009,070332,1989,02,17,0.0,,Y
IDCJAC0009,070332,1989,02,18,0.0,,Y
IDCJAC0009,070332,1989,02,19,0.0,,Y
IDCJAC0009,070332,1989,02,20,0.4,1,Y
IDCJAC0009,070332,1989,02,21,0.0,,Y
IDCJAC0009,070332,1989,02,22,0.0,,Y
IDCJAC0009,070332,1989,02,23,0.0,,Y
IDCJAC0009,070332,1989,02,24,0.0,,Y
IDCJAC0009,070332,1989,02,25,0.0,,Y
